FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION;;;1A;SHIP NAME;SHIP;1022/49;1-38;M
;UNIT DESIGNATION;;;1B;BASE NAME;BASE;1022/104;;
;UNIT DESIGNATION;;;1C;PLACE NAME;PLACE;1022/170;;
;UNIT DESIGNATION;;;1D;UNIT;UNIT;1022/57;;
;UNIT DESIGNATION;;;1E;AIR COMMAND AND CONTROL SYSTEM (ACCS) DESIGNATION;ACCS;1022/643;;
2;CALL SIGN;;;2A;UNIT CALL SIGN;CS;1129/33;1-38;M
;CALL SIGN;;;2B;CALL SIGN LINE NUMBER;CSLN;1012/679;;
3;LINK 1 REPORTING UNIT IDENTIFIER;;;3A;LINK 1 REPORTING UNIT NUMBER;LU;1625/11;4-5;M
;LINK 1 REPORTING UNIT IDENTIFIER;;;3B;LINK UNIT LINE NUMBER;LULN;1012/603;;
4;LINK 1 TRACK NUMBER BLOCK;;;4A;LINK 1 TRACK NUMBER BLOCK;BLOCK;2480;11-11;M
5;GEOGRAPHIC POSITION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;GEOGRAPHIC POSITION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC POSITION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC POSITION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC POSITION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC POSITION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
