FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) REQUEST LOCATION; ; ;CURRENT / CURRENT;1284/006;4-8;A
2 M;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;A;CURRENT / CURRENT;2018/001;12;AN
;(NU) ACTIVITY LOCATION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/029;15;AN
;(NU) ACTIVITY LOCATION, UTM 10-METRE; ;C;CURRENT / CURRENT;2086/041;13;AN
;(NU) ACTIVITY LOCATION, LAT/LONG, MINUTES; ;D;CURRENT / CURRENT;2023/045;11;AN
;(NU) ACTIVITY LOCATION, UTM 100-METRE; ;E;CURRENT / CURRENT;2087/047;11;AN
;(NU) ACTIVITY LOCATION, UTM 1,000-METRE; ;F;CURRENT / CURRENT;2088/006;9;AN
3 C;(NU) TARGET RADIUS, FT, YD, SM, NM, M, KM, HF;RAD;A;CURRENT / CURRENT;2178/002;2-7;ANS
;(NU) TARGET WIDTH, FT, YD, SM, NM, M, KM, HF;WDTH;B;CURRENT / CURRENT;2179/002;2-7;ANS
;(NU) ELLIPTICAL TARGET AREA;ELP;C;CURRENT / CURRENT;2180/002;11-23;ANS
4 O;(NU) ELEVATION IN METRES; ; ;CURRENT / CURRENT;1344/002;1-4;NS
5 O;(NU) DAY-TIME AND MONTH; ; ;CURRENT / CURRENT;2030/001;10;AN
* 6 C;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;A;CURRENT / CURRENT;2018/001;12;AN
;(NU) ACTIVITY LOCATION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/029;15;AN
;(NU) ACTIVITY LOCATION, UTM 10-METRE; ;C;CURRENT / CURRENT;2086/041;13;AN
;(NU) ACTIVITY LOCATION, LAT/LONG, MINUTES; ;D;CURRENT / CURRENT;2023/045;11;AN
;(NU) ACTIVITY LOCATION, UTM 100-METRE; ;E;CURRENT / CURRENT;2087/047;11;AN
;(NU) ACTIVITY LOCATION, UTM 1,000-METRE; ;F;CURRENT / CURRENT;2088/006;9;AN
